favorites,tweet_id,text,user_screen_name,created_at,user_id,user_name,retweets
10,9.25E+17,Transnet distances itself from SAP payments for state contracts https://bloom.bg/2yYrZagÂ pic.twitter.com/5NwvhZf8q8,34713362,1.51E+12,34713362,Bloomberg,7
17,9.21E+17,German software giant SAP raised its sales forecast but its shares fell anyway https://bloom.bg/2gSi9zgÂ pic.twitter.com/TKjINPo4wa,34713362,1.51E+12,34713362,Bloomberg,11
14,9.13E+17,Fed Governor Lael Brainard says inequality may sap U.S. consumer spending https://bloom.bg/2y67Vp5Â pic.twitter.com/1kSXKRJppo,34713362,1.51E+12,34713362,Bloomberg,20
3,8.83E+17,Post-crisis rules may sap bond-market liquidity says Fed https://bloom.bg/2sPjUVFÂ pic.twitter.com/T0ERE8dcir,34713362,1.50E+12,34713362,Bloomberg,5
47,8.75E+17,A Russian software billionaire takes on SAP and Oracle https://bloom.bg/2rtS68AÂ pic.twitter.com/Ich5hmXSaf,34713362,1.50E+12,34713362,Bloomberg,24
11,8.62E+17,SAP's management faces questions on succession planning and pay https://bloom.bg/2qUzZnRÂ pic.twitter.com/FOmVWPN6RM,34713362,1.49E+12,34713362,Bloomberg,9
47,8.37E+17,SAP and Apple say theyâ€™ll release software development kit for iPhones and iPads March 30 http://bloom.bg/2m44UyxÂ pic.twitter.com/ryEoPON1xN,34713362,1.49E+12,34713362,Bloomberg,57
17,7.89E+17,"SAP raises sales and profit forecast after its outlook for cloud software improves
http://bloom.bg/2dsYeanÂ pic.twitter.com/NvW3eLZr5d",34713362,1.48E+12,34713362,Bloomberg,28
14,7.79E+17,SAP and Bosch are planning a partnership to connect vehicles and machines over the internet http://bloom.bg/2d1EHLtÂ pic.twitter.com/zXbx7XLsn6,34713362,1.47E+12,34713362,Bloomberg,17
13,7.56E+17,SAP profit tops estimates as clients move to new software http://bloom.bg/29UfSjQÂ ,34713362,1.47E+12,34713362,Bloomberg,24
26,7.35E+17,SAP and Oracle strike back against cloud rivals http://bloom.bg/1TmxlhQÂ pic.twitter.com/RgELGJYBcq,34713362,1.46E+12,34713362,Bloomberg,39
21,7.33E+17,SAP and Oracle strike back against cloud rivals http://bloom.bg/1TmxlhQÂ pic.twitter.com/itql38TrsZ,34713362,1.46E+12,34713362,Bloomberg,26
36,7.28E+17,Apple and SAP are teaming up to develop iPhone and iPad apps for businesses http://bloom.bg/1T3HXqTÂ pic.twitter.com/v8Gs7gJrhm,34713362,1.46E+12,34713362,Bloomberg,39
48,6.91E+17,"Slower growth in China is still ""a lot,"" SAP CEO Bill McDermott says http://bloom.bg/1NoGceEÂ pic.twitter.com/4nuTurui8M",34713362,1.45E+12,34713362,Bloomberg,32
25,6.90E+17,"LATEST: SAP raises revenue, operating profit for next year http://bloom.bg/1ZG5fRyÂ pic.twitter.com/naXFQtdAut",34713362,1.45E+12,34713362,Bloomberg,39
20,6.87E+17,Currency swings sap U.S. corporate profits by most in 4 years http://bloom.bg/1Q4UFTeÂ pic.twitter.com/nFIpqvq5nG,34713362,1.45E+12,34713362,Bloomberg,23
24,6.46E+17,"Software firm SAP goes in search of ""inspired"" young developers and sales staff http://bloom.bg/1KGXXJlÂ pic.twitter.com/Q1n81aptbu",34713362,1.44E+12,34713362,Bloomberg,28
21,6.44E+17,"SAP's CEO Bill McDermott lost an eye after an accident, but is recovering http://bloom.bg/1QG63mkÂ pic.twitter.com/05MpO6cXZQ",34713362,1.44E+12,34713362,Bloomberg,37
61,6.06E+17,Autistic coders are finding jobs as software detectives for the likes of Microsoft and SAP http://bloom.bg/1JlHx7ZÂ pic.twitter.com/m1jMm3jrxT,34713362,1.43E+12,34713362,Bloomberg,80
9,5.74E+17,"SAP will layoff more than 2,000 employees in second job cut under CEO http://bloom.bg/1MeU9huÂ ",34713362,1.43E+12,34713362,Bloomberg,44
14,5.13E+17,SAP to buy Concur for $7.4B to boost cloud sales http://bloom.bg/1tqHuQPÂ ,34713362,1.41E+12,34713362,Bloomberg,37
5,4.90E+17,Atlantic City layoffs sap job market: http://bloom.bg/1rlFHN5Â pic.twitter.com/ZkIzTwQQGX,34713362,1.41E+12,34713362,Bloomberg,29
8,4.77E+17,Infosys's Sikka brings SAP expertise to transform margins http://bloom.bg/1l5B0nKÂ ,34713362,1.40E+12,34713362,Bloomberg,6
11,4.66E+17,"SAP's new development boss tells his team of 18,000 to make software more 'Lego-like':
http://bloom.bg/1larJ9OÂ ",34713362,1.40E+12,34713362,Bloomberg,27
7,4.57E+17,"SAP sales, earnings miss estimates amid shift to online http://bloom.bg/1gCpc5yÂ ",34713362,1.40E+12,34713362,Bloomberg,11
3,4.51E+17,Hong Kong Seeks to sap pro-democracy protests: Anson Chan http://bloom.bg/1pCKeqJÂ ,34713362,1.40E+12,34713362,Bloomberg,25
6,4.47E+17,Incoming SAP CEO trades Philly for Heidelberg as German company revamps software development http://bloom.bg/1l9nPBPÂ ,34713362,1.40E+12,34713362,Bloomberg,20
5,4.23E+17,BlackBerryâ€™s names SAP's Eric Johnson to its top sales job | http://bloom.bg/1ePm1Y6Â ,34713362,1.39E+12,34713362,Bloomberg,19
3,4.08E+17,Thailand resilience eroding as protests sap confidence | http://bloom.bg/1cc1XfyÂ ,34713362,1.39E+12,34713362,Bloomberg,12
1,3.38E+17,BREAKING: SAP said to end talks to purchase Jive Software,34713362,1.37E+12,34713362,Bloomberg,8
1,3.12E+17,SAP as most valuable German company validates deals spree | http://bloom.bg/16tHvHwÂ ,34713362,1.36E+12,34713362,Bloomberg,9
1,2.53E+17,"Oracle CEO Larry Ellison: high-end servers, updated flagship database key to challenging SAP | http://bloom.bg/R7dpApÂ ",34713362,1.35E+12,34713362,Bloomberg,9
6,2.34E+17,"SAP challenges Oracle, IBM  in the $26.7 billion database market with new advances | http://bloom.bg/S74kXqÂ ",34713362,1.34E+12,34713362,Bloomberg,25
5,2.31E+17,SAP agrees to pay Oracle $306 million in copyright breach | http://bloom.bg/Mhi7rTÂ ,34713362,1.34E+12,34713362,Bloomberg,31
3,2.05E+17,SAP agrees to buy Ariba | http://bloom.bg/LdbhToÂ ,34713362,1.34E+12,34713362,Bloomberg,29
3,1.83E+17,'They Must Be On Drugs' Larry Ellison rips into his rivals at SAP | http://bit.ly/GDWOA7Â  $ORCL,34713362,1.33E+12,34713362,Bloomberg,12
3,1.43E+17,SAP to acquire SuccessFactors for cloud offerings | http://bloom.bg/u9tjtEÂ ,34713362,1.32E+12,34713362,Bloomberg,28
3,1.13E+17,Children sap their fathersâ€™ testosterone levels | http://bloom.bg/pAt2KKÂ ,34713362,1.32E+12,34713362,Bloomberg,27
2,1.10E+17,SAP wins bid to reject $1.3B Oracle verdict | http://bloom.bg/mVkRYiÂ ,34713362,1.31E+12,34713362,Bloomberg,8
1,7.05E+16,"""Green"" software: A tech giant tries to corner the market | http://bloom.bg/mizzzn $SAP",34713362,1.31E+12,34713362,Bloomberg,6
1,7.21E+15,"Exclusive: SAP Ordered to Pay Oracle $1.3 Billion for Illegally Downloading 
Software - http://ow.ly/3eAsS $HPQ $SAP ^gr",34713362,1.29E+12,34713362,Bloomberg,12
0,22258219485,Exclusive: House Prices Face #Cameron `Chopping Block' as Budget Cuts Sap Buying Power - http://ow.ly/2vDMI,34713362,1.28E+12,34713362,Bloomberg,2
0,17923801918,"#Apple's Not-Just-For-Consumers #IPad Wins Fans at Wells Fargo, SAP, Tellabs - http://ow.ly/27VYP",34713362,1.28E+12,34713362,Bloomberg,6
0,13894261973,#SAPâ€™s New CEOs Rush for Turnaround With $5.8 Billion #Sybase Acquisition - http://ow.ly/1KrDE,34713362,1.27E+12,34713362,Bloomberg,1
0,13869953615,#SAP Said to Be Near Agreement to Buy #Sybase for $6 Billion - http://ow.ly/1KiYi  ^gm,34713362,1.27E+12,34713362,Bloomberg,4
